score,label_idx,label,is_anomaly
0.012452227,6,none,0
0.011461343,6,none,0
0.008718761,6,none,0
0.011683632,6,none,0
0.00940306,6,none,0
0.009505443,6,none,0
0.007815983,6,none,0
0.008160556,6,none,0
0.008489564,6,none,0
0.0096576335,6,none,0
0.008789724,6,none,0
0.009884669,6,none,0
0.008099045,6,none,0
0.011142755,6,none,0
0.010022994,6,none,0
0.0102762915,6,none,0
0.009632663,6,none,0
0.009853605,6,none,0
0.010109911,6,none,0
0.015942063,4,loc,1
0.008291245,6,none,0
0.010494012,6,none,0
0.008468458,6,none,0
0.0097660115,6,none,0
0.009913567,6,none,0
0.021883583,3,edge-ring,1
0.013786169,6,none,0
0.013003515,6,none,0
0.018257432,6,none,0
0.014430934,6,none,0
0.016284598,6,none,0
0.015498802,6,none,0
0.016565071,6,none,0
0.017915735,6,none,0
0.017561726,6,none,0
0.015308909,6,none,0
0.017837653,6,none,0
0.015405808,6,none,0
0.018342815,6,none,0
0.015664352,6,none,0
0.016952176,6,none,0
0.019174542,6,none,0
0.019170795,6,none,0
0.015708474,6,none,0
0.015083885,6,none,0
0.01647087,6,none,0
0.016152803,6,none,0
0.016339548,6,none,0
0.016786274,6,none,0
0.021751892,6,none,0
0.022602918,6,none,0
0.017042655,6,none,0
0.032012664,6,none,0
0.01668907,6,none,0
0.021122592,6,none,0
0.023853635,6,none,0
0.015241299,6,none,0
0.019319601,6,none,0
0.02568299,3,edge-ring,1
0.022776,6,none,0
0.020187141,6,none,0
0.016709559,6,none,0
0.023758803,6,none,0
0.023958944,6,none,0
0.023390543,6,none,0
0.018041316,6,none,0
0.027159039,6,none,0
0.016438577,6,none,0
0.02378159,6,none,0
0.01848104,6,none,0
0.017717578,6,none,0
0.014455248,6,none,0
0.026414363,6,none,0
0.017917845,6,none,0
0.017868118,6,none,0
0.021905094,6,none,0
0.013116887,6,none,0
0.022250462,6,none,0
0.014375095,6,none,0
0.021336459,6,none,0
0.01717323,6,none,0
0.02781545,6,none,0
0.01680153,6,none,0
0.01918117,6,none,0
0.024070222,2,edge-loc,1
0.022071145,6,none,0
0.024002826,6,none,0
0.023688205,6,none,0
0.012756126,6,none,0
0.023885138,6,none,0
0.016931739,6,none,0
0.017574448,6,none,0
0.023529282,6,none,0
0.016689062,6,none,0
0.01722416,6,none,0
0.013286971,6,none,0
0.026828602,6,none,0
0.024883363,6,none,0
0.020291362,6,none,0
0.021840852,6,none,0
0.019122679,6,none,0
0.020909786,6,none,0
0.015062222,6,none,0
0.017176677,6,none,0
0.019841649,6,none,0
0.019219741,6,none,0
0.020888481,6,none,0
0.020942422,6,none,0
0.01643661,6,none,0
0.019035421,6,none,0
0.021748917,6,none,0
0.018069278,6,none,0
0.020219328,6,none,0
0.017959546,6,none,0
0.018942727,6,none,0
0.016846186,6,none,0
0.02018945,6,none,0
0.020165438,6,none,0
0.017516503,6,none,0
0.016803812,6,none,0
0.018590663,6,none,0
0.016075293,6,none,0
0.01654695,6,none,0
0.020333573,6,none,0
0.017701115,6,none,0
0.017638618,6,none,0
0.02251928,6,none,0
0.014593161,6,none,0
0.018640675,6,none,0
0.018393181,6,none,0
0.015250849,6,none,0
0.025678251,6,none,0
0.017363649,6,none,0
0.0185135,6,none,0
0.016925018,6,none,0
0.017324949,6,none,0
0.016940622,6,none,0
0.02086647,6,none,0
0.021932289,6,none,0
0.018498305,6,none,0
0.021246921,6,none,0
0.022299089,6,none,0
0.02195618,6,none,0
0.01601771,6,none,0
0.021055825,6,none,0
0.01720715,6,none,0
0.023588818,6,none,0
0.020074032,6,none,0
0.020449009,6,none,0
0.018344466,6,none,0
0.012901019,6,none,0
0.027895253,6,none,0
0.01799542,6,none,0
0.020044833,6,none,0
0.017448304,6,none,0
0.012238257,6,none,0
0.015490821,6,none,0
0.018595934,6,none,0
0.016339637,6,none,0
0.01936362,6,none,0
0.022331145,6,none,0
0.013304972,6,none,0
0.019404769,6,none,0
0.018209985,6,none,0
0.01461603,6,none,0
0.018981684,6,none,0
0.020783816,6,none,0
0.018934555,6,none,0
0.018939365,6,none,0
0.011935088,6,none,0
0.01320389,6,none,0
0.018636659,6,none,0
0.017745007,6,none,0
0.018999936,6,none,0
0.016625943,6,none,0
0.018073346,6,none,0
0.020795347,6,none,0
0.022529079,6,none,0
0.012735741,6,none,0
0.019082382,6,none,0
0.01679647,6,none,0
0.016511323,6,none,0
0.016754001,6,none,0
0.0145390555,6,none,0
0.012840953,6,none,0
0.017629325,6,none,0
0.019692596,6,none,0
0.017300777,6,none,0
0.020443223,6,none,0
0.015592587,6,none,0
0.021038344,6,none,0
0.017927624,6,none,0
0.027881118,6,none,0
0.017248847,6,none,0
0.020562986,6,none,0
0.019002942,6,none,0
0.01615046,6,none,0
0.023770314,6,none,0
0.01771588,6,none,0
0.02071628,6,none,0
0.020736208,6,none,0
0.0178009,6,none,0
0.022770673,6,none,0
0.015943948,6,none,0
0.017781537,6,none,0
0.016292384,6,none,0
0.02503344,2,edge-loc,1
0.016139176,6,none,0
0.017672664,6,none,0
0.02296276,6,none,0
0.02060201,6,none,0
0.017414426,6,none,0
0.02252721,6,none,0
0.01714026,6,none,0
0.029319437,6,none,0
0.015697483,6,none,0
0.017119635,6,none,0
0.021065313,6,none,0
0.012475976,6,none,0
0.017619258,6,none,0
0.017708845,6,none,0
0.01687558,6,none,0
0.017227618,6,none,0
0.022700578,6,none,0
0.020306941,6,none,0
0.016559951,6,none,0
0.01652268,6,none,0
0.018179627,6,none,0
0.021391626,6,none,0
0.020742666,6,none,0
0.014386537,6,none,0
0.017738104,6,none,0
0.021549966,6,none,0
0.022620369,6,none,0
0.013009023,6,none,0
0.023296498,6,none,0
0.025746379,6,none,0
0.01438063,6,none,0
0.023875304,6,none,0
0.018992146,6,none,0
0.016623693,6,none,0
0.017014392,6,none,0
0.015345259,6,none,0
0.016578997,6,none,0
0.020664249,6,none,0
0.01893603,6,none,0
0.016923685,6,none,0
0.024641678,6,none,0
0.016218916,6,none,0
0.017595105,6,none,0
0.021763936,6,none,0
0.019764336,6,none,0
0.015863689,6,none,0
0.0241851,6,none,0
0.019540928,6,none,0
0.022178236,6,none,0
0.0127257835,6,none,0
0.02197247,6,none,0
0.014244543,6,none,0
0.017608762,6,none,0
0.014712934,6,none,0
0.017162528,6,none,0
0.015696924,6,none,0
0.018506685,6,none,0
0.01558449,6,none,0
0.017011587,6,none,0
0.021323606,6,none,0
0.02214643,6,none,0
0.016231164,6,none,0
0.040320795,2,edge-loc,1
0.017543657,6,none,0
0.016654555,6,none,0
0.01533491,6,none,0
0.017874379,6,none,0
0.013956211,6,none,0
0.016387898,6,none,0
0.018190097,6,none,0
0.017415622,6,none,0
0.018413465,6,none,0
0.024683176,6,none,0
0.024386019,6,none,0
0.022543259,6,none,0
